Title,Name,Desc,Attribute
sewer kid,SewerKid57,"[PAWN_nameDef] grew up in the sludge-smeared sewers of a polluted industrial world.
\n[PAWN_pronoun] befriended the strange insects in the darkness, and learned to love them.",Cooking+2	
navy scientist,NavyScientist52,"Interstellar warfare is won by technology, so glitterworld navies are always on the peak of modern research. Even better, they have first access to archotechnological artifacts because they find them in space.\n\n[PAWN_nameDef] worked in a navy lab.",Intellectual+8	
glitterworld empath,GlitterworldEmpath26,"[PAWN_nameDef] had an amazing ability to relate to others and mediate conflict. [PAWN_pronoun] was selected to train as an empath. The training intensified [PAWN_possessive] natural abilities, but [PAWN_pronoun] became unable to harm others.",Social+8	Medicine+2	
glitterworld surgeon,GlitterworldSurgeon15,"[PAWN_nameDef] worked as a surgeon on a world mostly free of disease and human suffering.\n\n[PAWN_possessive] job mostly involved elaborate and creative cosmetic surgeries. [PAWN_pronoun] has a good understanding of human biology, but never had to remove a cancer — or a bullet.",Artistic+5	Medicine+3	Social+1	
novelist,Novelist7,"[PAWN_nameDef] lived on a glitterworld, penning wildly successful novels. [PAWN_pronoun] lived a carefree lifestyle, spending [PAWN_possessive] days writing and [PAWN_possessive] nights partying - and never did a day's manual labour in [PAWN_possessive] life.",Construction-5	Mining-5	Artistic+8	
charity worker,CharityWorker36,"Glitterworlds are havens of safety and comfort for those lucky enough to live there, but [PAWN_nameDef] could not ignore nearby planets where people suffered in poverty. [PAWN_pronoun] spent [PAWN_possessive] working life appealing for donations and supporting those in need.",Social+6	Mining-3	
glitterworld officer,GlitterworldOfficer60,"Though glitterworlds are peaceful places, they often remain prepared for war. [PAWN_nameDef]'s unit rarely saw any real action.\n\nThough [PAWN_pronoun] pursued [PAWN_possessive] artistic hobbies, [PAWN_possessive] subordinates preferred to entertain themselves by brawling, so [PAWN_nameDef] got good at breaking up fights.",Melee+6	Artistic+4	
biosphere manager,BiosphereManager95,"[PAWN_nameDef] lived on a peaceful glitterworld where all menial work was done by robots and people devoted themselves to leisure. [PAWN_pronoun] managed the plant and animal life of a sprawling park, where citizens came to admire the natural beauty.",Shooting-4	Animals+6	Plants+6	
VR designer,VRDesigner87,"[PAWN_nameDef] designed virtual reality simulations for glitterworld citizens. [PAWN_pronoun] paid great attention to the details of [PAWN_possessive] worlds, including learning all [PAWN_pronoun] could about plant life to make [PAWN_possessive] landscapes more realistic.",Construction+3	Plants+4	Artistic+5	
architect,Architect28,"[PAWN_nameDef] designed and constructed buildings. On [PAWN_possessive] glitterworld home, most of the technical aspects of architecture were handled by an AI. This enabled [PAWN_objective] to push the artistic limits of the craft, but also meant [PAWN_pronoun] never had to get [PAWN_possessive] hands dirty at building sites.",Construction+5	Artistic+7	Crafting-3	
sculptor,Sculptor63,"[PAWN_nameDef] started off sculpting person-sized chunks of stone, but [PAWN_pronoun] soon began to think bigger. With the help of mining robots, [PAWN_pronoun] learned how to carve huge monuments out of cliffsides. Soon the nature parks of the glitterworld where [PAWN_pronoun] lived were full of giant rock figures.",Plants-4	Mining+4	Artistic+9	
medieval farm oaf,MedievalFarmOaf58,"Tilling, hoeing, guiding ox carts, pushing wheelbarrows. Digging ditches, planting seeds, predicting the harvest.\n\nMedieval-level farmers aren't educated in the usual sense, but they know a lot about growing plants without technology. That said, such a life leaves one essentially incapable of participating in intellectual, technology-driven activities.",Plants+8	Mining+3	
medieval lord,MedievalLord57,"[PAWN_nameDef] was a lord on a preindustrial planet. [PAWN_pronoun] went to parties, managed the underlings, and even learned some swordplay.\n\n[PAWN_possessive] soft hands did not hold a work tool during that entire time. [PAWN_pronoun] considers manual labor to be beneath [PAWN_objective].",Social+7	Melee+5	Shooting+5	
medieval minstrel,MedievalMinstrel95,"[PAWN_nameDef] was a traveling entertainer on a medieval world.\n\n[PAWN_pronoun] could always be found telling stories or singing songs, and is capable of protecting [PAWN_objective]self from the dangers of the road. However, [PAWN_pronoun] was always conspicuously absent whenever there was hard labour to be done.",Social+4	Artistic+3	Melee+2	
taster,Taster16,"As the taster for a medieval king, any dish served at the royal table had to be sampled first by [PAWN_nameDef]. [PAWN_pronoun] lived a decadent lifestyle at court, getting fat and doing very little work.",Cooking+7	Construction-4	Crafting-4	
blacksmith,Blacksmith72,"As a smith on a medieval world, [PAWN_nameDef] gained a reputation for the high quality of [PAWN_possessive] work. [PAWN_pronoun] wasn't bad at using the swords [PAWN_pronoun] forged either.",Shooting-5	Melee+4	Crafting+6	
message carrier,MessageCarrier77,"On a medieval world, the fastest way to send a message is to give it to somebody on a horse and hope they survive the journey. [PAWN_nameDef] was that somebody.",Melee+3	Animals+4	
medieval doctor,MedievalDoctor40,"[PAWN_nameDef] worked as a doctor on a medieval planet. [PAWN_pronoun] firmly believes that most ailments can be cured with a little bloodletting.\n\n[PAWN_pronoun] was also a master anaesthetist, developing a specialty technique that involved a heavy blow to the head.",Melee+6	Medicine+1	
herbalist,Herbalist54,"[PAWN_nameDef] lived in the forest near a village. Though many of the villagers feared [PAWN_objective], sick villagers would come to [PAWN_objective] to purchase salves and poultices made from the herbs [PAWN_pronoun] grew in [PAWN_possessive] garden. [PAWN_pronoun] was happy to help them — for a price.",Plants+4	Medicine+4	Social-2	
medieval sailor,MedievalSailor97,"[PAWN_nameDef] explored the oceans on a wooden ship, seeking out plant and animal specimens from exotic places, and occasionally fending off pirates. [PAWN_pronoun] loved the sea so much [PAWN_pronoun] refused to do all but the barest minimum of work on land, except to sell the treasures [PAWN_pronoun] collected.",Melee+4	Social+4	Animals+4	
medieval slave,MedievalSlave49,[PAWN_nameDef] grew up pulling carts and digging holes on a medieval world. Simple manual labor is [PAWN_possessive] oldest companion - along with the master's lash.\n\n[PAWN_pronoun] didn't learn to read until age nine.,Plants+2	Construction+2	Mining+2	Intellectual-3	
medieval lordling,MedievalLordling19,"[PAWN_nameDef] was a minor noble in an old kingdom on a medieval world. [PAWN_pronoun] grew up in a manor made of stone, served by bowing lowerclassmen.\n\nSuch a life teaches no technical skills and instils a lifelong aversion to manual labor - but [PAWN_nameDef] learned early the ways of social manipulation.",Social+4	Construction-1	Mining-1	Plants-1	
convent child,ConventChild16,"The child of an illicit affair, [PAWN_nameDef] was bought up by nuns in a medieval convent. [PAWN_pronoun] learned the value of hard work and submission, but was taught that technology is heretical.",Construction+3	Plants+3	
policeman,Policeman45,"[PAWN_nameDef] kept the peace as a line officer in a municipal police force.
\n[PAWN_pronoun] was trained in de-escalation, physical control, shooting, and other police skills.",Social+3	Shooting+4	Melee+3	
chef,Chef52,"[PAWN_nameDef] ran a high-class restaurant. [PAWN_pronoun] was famous among patrons for [PAWN_possessive] creative culinary specialties, and infamous among kitchen workers for [PAWN_possessive] casual disdain for grunt work.",Cooking+6	Social+2	
housemate,Housemate8,"As an adult, [PAWN_nameDef] kept house and cared for children while [PAWN_possessive] spouse worked.",Cooking+3	Medicine+3	Crafting+2	
inventor,Inventor6,"On [PAWN_possessive] homeworld, [PAWN_nameDef] worked as a moderately successful inventor. [PAWN_pronoun] developed several minor technologies.",Crafting+5	Intellectual+2	
teacher,Teacher20,[PAWN_nameDef] was educated in the liberal arts and taught at a public school. [PAWN_pronoun] was widely knowledgeable and well-liked by [PAWN_possessive] students.,Intellectual+3	Social+4	
civil servant,CivilServant2,[PAWN_nameDef] worked as a low-ranking administrator for a moribund government bureaucracy. [PAWN_pronoun] is most at home filling out complicated paperwork and playing office politics.,Social+3	Intellectual+3	Construction-2	
bartender,Bartender62,"[PAWN_nameDef] worked as a bartender in a seedy establishment. The job was one part drink-mixing, one part diplomacy, and one part head-bashing.",Social+4	Melee+2	Cooking+2	
conceptual artist,ConceptualArtist39,"[PAWN_nameDef] was well-known in art circles on [PAWN_possessive] home world for [PAWN_possessive] unique and creative conceptual artworks.\n\nNobody was sure exactly what [PAWN_pronoun] was trying to communicate, but [PAWN_possessive] pieces were highly valued by collectors.",Artistic+8	Crafting+1	
evangelist,Evangelist39,"As a youth, [PAWN_nameDef] experienced a religious awakening. [PAWN_pronoun] decided to spend the rest of [PAWN_possessive] life spreading the word of [PAWN_possessive] deity, the beauty of its culture, and its unusual medical tradition.",Social+4	Artistic+4	Medicine-3	
ascetic priest,AsceticPriest84,"After taking a vow of silence, [PAWN_nameDef] joined a monastery to spend [PAWN_possessive] days in quiet contemplation.\n\n[PAWN_pronoun] found happiness growing vegetables in the garden and making cheese in the monastery cellars.",Plants+4	Medicine+2	Cooking+2	
escaped convict,EscapedConvict90,[PAWN_nameDef] denies involvement in the crimes that brought about [PAWN_possessive] incarceration in a brutal penal colony. [PAWN_pronoun] escaped by tunneling beneath the perimeter using modified cutlery.,Mining+4	Crafting+2	
